latitude,longitude,altitude,geometry,id,name,coordinates,totalDocks,docksAvailable,bikesAvailable,classicBikesAvailable,smartBikesAvailable,electricBikesAvailable,rewardBikesAvailable,rewardDocksAvailable,kioskStatus,kioskPublicStatus,kioskConnectionStatus,kioskType,addressStreet,addressCity,addressState,addressZipCode,bikes,closeTime,eventEnd,eventStart,isEventBased,isVirtual,kioskId,notes,openTime,publicText,timeZone,trikesAvailable
39.95378,-75.16374,,Point,,3004,Municipal Services Building Plaza,30,21,9,9,0,0,9,21,FullService,Active,Active,1,1401 John F. Kennedy Blvd.,Philadelphia,PA,19102,7|false|true|null|13|false|true|null|15|false|true|null|16|false|true|null|18|false|true|null|20|false|true|null|25|false|true|null|27|false|true|null|30|false|true|null,,,,false,false,3004,,,,,0
39.94733,-75.14403,,Point,,3005,"Welcome Park, NPS",13,8,5,5,0,0,5,8,FullService,Active,Active,1,191 S. 2nd St.,Philadelphia,PA,19106,2|false|true|null|4|false|true|null|5|false|true|null|10|false|true|null|12|false|true|null,,,,false,false,3005,,,,,0
39.9522,-75.20311,,Point,,3006,40th & Spruce,17,14,1,1,0,0,2,15,FullService,Active,Active,1,246 S. 40th St.,Philadelphia,PA,19104,12|false|false|null|14|false|true|null|15|false|false|null,,,,false,false,3006,,,,,0
39.94517,-75.15993,,Point,,3007,"11th & Pine, Kahn Park",20,5,14,12,0,2,14,6,FullService,Active,Active,1,328 S. 11th St.,Philadelphia,PA,19107,1|false|true|null|2|false|true|null|3|false|true|null|4|true|true|0.8|5|false|true|null|6|false|true|null|9|false|true|null|10|false|true|null|12|false|true|null|14|false|true|null|16|false|false|null|17|false|true|null|18|false|true|null|19|true|true|0.8|20|false|true|null,,,,false,false,3007,,,,,0
39.98078,-75.15055,,Point,,3008,Temple University Station,19,9,10,5,0,5,10,9,FullService,Active,Active,1,1076 Berks Street,Philadelphia,PA,19122,1|true|true|0.8|3|false|true|null|4|true|true|0.8|6|false|true|null|9|false|true|null|12|false|true|null|14|true|true|0.8|15|true|true|0.8|16|true|true|0.8|17|false|true|null,,,,false,false,3008,,,,,0
39.95576,-75.18982,,Point,,3009,33rd & Market,14,9,5,2,0,3,5,9,FullService,Active,Active,1,3318 Market St.,Philadelphia,PA,19104,1|true|true|0.8|5|true|true|0.8|7|true|true|0.8|9|false|true|null|14|false|true|null,,,,false,false,3009,,,,,0
39.94711,-75.16618,,Point,,3010,15th & Spruce,22,10,9,6,0,3,10,12,FullService,Active,Active,1,1483 Spruce St.,Philadelphia,PA,19102,1|false|true|null|6|false|false|null|7|false|true|null|11|true|true|0.8|13|true|true|0.8|15|false|false|null|17|false|true|null|18|true|true|0.8|19|false|true|null|20|false|true|null|21|false|true|null|22|false|false|null,,,,false,false,3010,,,,,0
39.95967,-75.19649,,Point,,3011,38th & Powelton,20,17,3,3,0,0,3,17,FullService,Active,Active,1,3788 Powelton Avenue,Philadelphia,PA,19104,5|false|true|null|8|false|true|null|20|false|true|null,,,,false,false,3011,,,,,0
39.94218,-75.17747,,Point,,3012,21st & Catharine,27,24,3,3,0,0,3,24,FullService,Active,Active,1,807 S. 21st St.,Philadelphia,PA,19149,5|false|true|null|8|false|true|null|9|false|true|null,,,,false,false,3012,,,,,0
39.96317,-75.14792,,Point,,3013,6th & Fairmount,17,6,10,8,0,2,11,6,FullService,Active,Active,1,674 N. 6th St.,Philadelphia,PA,19123,1|false|true|null|2|false|true|null|3|false|true|null|4|false|true|null|6|false|true|null|7|false|true|null|8|false|true|null|11|true|true|0.8|13|true|true|0.8|16|false|false|null|17|false|true|null,,,,false,false,3013,,,,,0
39.95886,-75.17369,,Point,,3014,"21st & Winter, Franklin Institute",25,8,15,15,0,0,15,9,FullService,Active,Active,1,2090 Winter St.,Philadelphia,PA,19103,1|false|true|null|2|false|true|null|3|false|true|null|4|false|true|null|5|false|true|null|7|false|true|null|8|false|true|null|9|false|false|null|11|false|true|null|12|false|true|null|13|false|true|null|14|false|true|null|15|false|true|null|17|false|false|null|18|false|true|null|24|false|true|null|25|false|true|null,,,,false,false,3014,,,,,0
39.94735,-75.14886,,Point,,3015,"4th & Walnut, NPS",11,3,8,8,0,0,8,3,FullService,Active,Active,1,422 Walnut St.,Philadelphia,PA,19106,2|false|true|null|3|false|true|null|4|false|true|null|5|false|true|null|6|false|true|null|8|false|true|null|10|false|true|null|11|false|true|null,,,,false,false,3015,,,,,0
39.96892,-75.1547,,Point,,3016,"11th & Poplar, John F. Street Community Center",15,3,12,9,0,3,12,3,FullService,Active,Active,1,1100 Poplar St.,Philadelphia,PA,19123,1|false|true|null|2|false|true|null|3|false|true|null|4|false|true|null|5|false|true|null|7|false|true|null|8|false|true|null|9|true|true|0.8|10|true|true|0.8|12|false|true|null|13|false|true|null|15|true|true|0.8,,,,false,false,3016,,,,,0
39.98003,-75.14371,,Point,,3017,6th & Berks,15,8,7,2,0,5,7,8,FullService,Active,Active,1,527 W. Berks St.,Philadelphia,PA,19122,1|false|true|null|2|true|true|0.8|4|false|true|null|5|true|true|0.8|7|true|true|0.8|9|true|true|0.8|13|true|true|0.8,,,,false,false,3017,,,,,0
39.95273,-75.15979,,Point,,3018,12th & Filbert,18,0,17,14,0,3,17,0,FullService,Active,Active,1,1200 Filbert St.,Philadelphia,PA,19107,1|false|true|null|2|false|true|null|3|false|true|null|4|false|true|null|5|false|true|null|6|false|true|null|7|false|true|null|8|true|true|0.8|9|true|true|0.8|10|false|true|null|11|false|true|null|12|false|true|null|13|false|true|null|14|false|true|null|15|true|true|0.8|16|false|true|null|17|true|true|0.8|18|false|true|null,,,,false,false,3018,,,,,0
